Date,Open,High,Low,Close,Volume,ema_fast,ema_slow,atr,regime,signal,equity_buyhold,equity_trade
2016-11-11,185.97266608893338,186.5062746780134,185.31856481416693,186.26528930664062,100552700,184.10103323719588,180.179906395665,1.9739995812084865,True,1,109189.1239167924,99534.056435204
2016-11-14,186.79025502566955,186.99681949845134,185.66278518542148,186.41156005859375,94580000,184.19164213215265,180.24191289977375,2.0078116217496285,True,1,109274.86815459357,99534.056435204
2016-11-15,186.79885877978907,187.8660888671875,186.59230743770325,187.8660888671875,91652600,184.3357380825462,180.3177753472107,2.0201067841201996,True,1,110127.51615419285,99534.056435204
2016-11-16,187.24645558204563,187.74564333859465,187.12596289134194,187.5132598876953,65617700,184.46034678078735,180.38937220831005,1.9783001249681962,True,1,109920.68702727063,99534.056435204
2016-11-17,187.66814505035836,188.53741261722908,187.5562543149149,188.4771728515625,69797200,184.61786937179815,180.46984783660113,1.914977771735258,True,1,110485.7349352758,99534.056435204
2016-11-18,188.54602088049072,188.71815137539457,187.87468962475032,188.05543518066406,86265800,184.75267587410661,180.54532631763658,1.9241997599314726,True,1,110238.5113812818,99534.056435204
2016-11-21,188.63209148986746,189.50135908036532,188.48577990331134,189.4755401611328,72402600,184.93788623830372,180.6341841668256,1.8190760183992762,True,1,111070.98005681689,99534.056435204
2016-11-22,189.78541969490294,190.0264050795417,189.1141013901638,189.84567260742188,67429000,185.13034844885738,180.72584076822457,1.7692795773820589,True,1,111287.95251418628,99534.056435204
2016-11-23,189.32924844097278,190.0005666768912,189.1312989951807,189.9489288330078,56620200,185.31931238549072,180.81761278876968,1.7219427019180102,True,1,111348.48154164305,99534.056435204
2016-11-25,190.2931698502438,190.689068672833,190.21569996520256,190.65464782714844,37872300,185.52854122634005,180.91549373442518,1.6819812502190428,True,1,111762.17557443086,99534.056435204
2016-11-28,190.3448267577416,190.62023294895837,189.65629158062544,189.7595672607422,76572500,185.69446381592445,181.00349446603033,1.4680384327646092,True,1,111237.47736981824,99534.056435204
2016-11-29,189.79397961702512,190.5857903840373,189.49274140738675,190.129638671875,69886700,185.868392241648,181.0943018710636,1.399185481873228,True,1,111454.41404824423,99534.056435204
2016-11-30,190.74933979570218,190.91286837693818,189.6132547888307,189.6735076904297,113291800,186.01761245532572,181.1796671030971,1.1993881065955858,True,1,111187.02905965771,99534.056435204
2016-12-01,189.97472631448642,189.97472631448642,188.61487300392184,188.9763641357422,79040500,186.13364193298912,181.2572461780488,1.1065595110102728,True,1,110778.36196841425,99534.056435204
2016-12-02,189.0624429921866,189.5616307011736,188.70956688420517,189.071044921875,74840300,186.24883420706308,181.33499541928092,1.0690624733625762,True,1,110833.86405432665,99534.056435204
2016-12-05,189.90586931511078,190.5513685488572,189.70791989392222,190.2071075439453,67837800,186.404060612431,181.4232751419144,1.0795117100734575,True,1,111499.82647212454,99534.056435204
2016-12-06,190.39642402976182,190.84397376943468,189.9144534482895,190.80953979492188,59877400,186.57682450194045,181.51667081010353,1.0420111038271318,True,1,111852.9735879839,99534.056435204
2016-12-07,190.6546446302542,193.36573597793688,190.53415197330642,193.3054962158203,110738100,186.84069398091614,181.63397255543407,1.1914009630260531,True,1,113316.10875367618,99534.056435204
2016-12-08,193.27972553791193,194.2522689643216,193.01290810769973,193.77890014648438,99714400,187.11278049721295,181.7548176060913,1.2067729721037739,True,1,113593.61918323816,99534.056435204
2016-12-09,194.00269255811912,194.96663410843303,193.96825856976866,194.9494171142578,88005800,187.42009958023434,181.88610715343626,1.2313638443398023,True,1,114279.77881457192,99534.056435204
2016-12-12,194.85472632710983,195.33671019288985,194.30390075607875,194.7256317138672,102016100,187.70659103645525,182.01386361672414,1.2018556684190773,True,1,114148.59531868293,99534.056435204
2016-12-13,195.3883537495391,196.52442577743506,195.3711367563643,196.02523803710938,110477500,188.0328124874613,182.1532802776235,1.265176409432647,True,1,114910.42741525745,99534.056435204
2016-12-14,195.72399831251653,196.42973738751738,193.96823285552694,194.4071807861328,142501800,188.2827877148602,182.27520963591715,1.3789076130240727,True,1,113961.91868161738,99534.056435204
2016-12-15,194.64818355822416,196.06827689759587,194.415800111388,195.20761108398438,124972600,188.55434941561018,182.4038902473407,1.4446902038553486,True,1,114431.1326897893,99534.056435204
2016-12-16,195.66557314965038,195.726181191555,194.5054866143451,194.8258056640625,156420200,188.8002888763338,182.52749139576582,1.460571513190128,True,1,114207.31750949922,99534.056435204
2016-12-19,195.0076095201908,195.67423190639698,194.86043555105059,195.25001525878906,90341100,189.05321932270462,182.65408367300984,1.4430984607389803,True,1,114455.99011069996,99534.056435204
2016-12-20,195.7867544641546,196.15037625529698,195.55301458286152,196.00318908691406,89838800,189.3257671565952,182.78691059255118,1.4145804184818676,True,1,114897.5022719628,99534.056435204
2016-12-21,195.8733296992585,196.04647475199613,195.45777893066406,195.45777893066406,67909000,189.5662382065587,182.9129888844727,1.3594977406795457,True,1,114577.78163395269,99534.056435204
2016-12-22,195.31061123222736,195.43181409403857,194.72190218191486,195.12014770507812,56219100,189.78403857904965,183.0344531513444,1.351198664378172,True,1,114379.86146393116,99534.056435204
2016-12-23,195.16340384527456,195.41447538238174,194.97295354797507,195.40582275390625,36697800,190.00450070355384,183.157551356345,1.2769985363370628,True,1,114547.32480840366,99534.056435204
2016-12-27,195.67420564907505,196.28887254299553,195.65688718146427,195.89064025878906,42672500,190.23532970571995,183.28424875835938,1.273679212618784,True,1,114831.52590037702,99534.056435204
2016-12-28,196.15036201208866,196.1676672693657,194.159160985266,194.27169799804688,64095000,190.39361865836023,183.3935766114906,1.2148879468665865,True,1,113882.49837205798,99534.056435204
2016-12-29,194.34096108645304,194.69591701686926,193.78688901390194,194.22842407226562,48696100,190.54400318439573,183.50138603896102,1.1912927430341196,True,1,113857.13110120421,99534.056435204
2016-12-30,194.55745374100078,194.6440328947785,192.8259763464399,193.51856994628906,108998300,190.66065286133272,183.60105951067573,1.236315784919116,True,1,113441.01304500265,99534.056435204
2017-01-03,194.82575838262778,195.50969909754534,193.82151190584895,194.99891662597656,91366500,190.83078085210306,183.7144710242608,1.3047671930937708,True,1,114308.79553765008,99534.056435204
2017-01-04,195.327927537461,196.3062163267695,195.31927490759986,196.15904235839844,78744400,191.0397322837225,183.8382976047,1.2696604528955606,True,1,114988.86380387403,99534.056435204
