Price,Open,High,Low,Close,Volume,ema_fast,ema_slow,signal,position,return,strategy_return,equity_buyhold,equity_strategy
Ticker,SPY,SPY,SPY,SPY,SPY,,,,,,,,
Date,,,,,,,,,,,,,
2021-07-09,406.40408326365025,409.5141485243297,404.69400902551706,409.2134704589844,76238600,394.8668196931658,363.27340012382916,1,1.0,0.010674595224625216,0.010674595224625216,2.398818400395007,1.390695105530756
2021-07-12,409.1290213300447,410.93306153821294,408.69681441503684,410.6793518066406,52889600,395.48691899173343,363.7451011355985,1,1.0,0.003582192311538668,0.003582192311538668,2.407411429225679,1.3956768428454827
2021-07-13,409.8900906791253,411.3934527310656,409.01627170163516,409.27935791015625,52911300,396.02779894931865,364.1981783174349,1,1.0,-0.0034089707464609598,-0.0034089707464609598,2.399204634088753,1.3909190213167095
2021-07-14,410.9799818157925,411.46859091611077,408.64039298286,409.8900451660156,64130400,396.57141644801266,364.6528237587143,1,1.0,0.001492103728313099,0.001492103728313099,2.402784496268263,1.3929944167741979
2021-07-15,408.54642483085615,409.22293624099797,406.5826693133908,408.49005126953125,55126400,397.0388138919938,365.08901507722993,1,1.0,-0.0034155352465741196,-0.0034155352465741196,2.394577701131337,1.3882365952454248
2021-07-16,409.67394399277407,409.7209124013847,404.89139582198015,405.2860107421875,75874700,397.36223337631515,365.4889851833489,1,1.0,-0.007843619489351195,-0.007843619489351195,2.3757955448059773,1.3773477956311273
2021-07-19,400.4470914346093,405.3517919065615,396.4819885344928,399.30078125,147987000,397.4382548615577,365.8254209651067,1,1.0,-0.014767915332747239,-0.014767915332747239,2.3407099973523646,1.3570072400015007
2021-07-20,399.96790941735486,406.3008168970858,399.1692457026754,405.02294921875,99608200,397.73569385595744,366.2154461218594,1,1.0,0.014330470255622618,0.014330470255622618,2.374253472346461,1.3764537918910067
2021-07-21,406.2256517266708,408.44311713039826,404.97599944679223,408.3021545410156,64724400,398.15006486321465,366.63421933996045,1,1.0,0.00809634448761698,0.00809634448761698,2.3934762463594987,1.387598035961443
2021-07-22,408.4806845710952,409.40150061648984,407.4941184807939,409.1571960449219,47878500,398.5817170664189,367.0573335360297,1,1.0,0.0020941390937978532,0.0020941390937978532,2.398488518537077,1.390503859255027
2021-07-23,411.0926472537347,413.7047268986434,410.4067594980267,413.3664855957031,63766600,399.1615119107046,367.51812111871305,1,1.0,0.010287707491081433,0.010287707491081433,2.4231634668365034,1.4048089562242625
2021-07-26,412.774643694326,414.39075280856224,412.72767528125456,414.38134765625,43719200,399.7583682144515,367.9844218802806,1,1.0,0.0024551145192246437,0.0024551145192246437,2.4291126106463885,1.4082579230894254
2021-07-27,413.3383994714901,413.3665862535988,409.65516412190027,412.4927673339844,67397100,400.2577564152175,368.4272909892727,1,1.0,-0.004557590086878838,-0.004557590086878838,2.418041711092194,1.4018396607393846
2021-07-28,413.12224152861904,413.7047874183934,410.89539993579183,412.3235778808594,52472400,400.7309258844584,368.86406996331834,1,1.0,-0.0004101634416974198,-0.0004101634416974198,2.4170499187818044,1.4012646773594277
2021-07-29,413.25389890742014,415.1142841442116,413.2444937539419,414.03375244140625,47435300,401.2526053572799,369.31351954021477,1,1.0,0.0041476516316052425,0.0041476516316052425,2.427074999821111,1.4070766350847883
2021-07-30,411.4591544529141,413.47928339111706,411.32759703614965,412.0229187011719,68951200,401.67497058645216,369.73848868609497,1,1.0,-0.004856690374582362,-0.004856690374582362,2.41528744803109,1.4002428995348724
2021-08-02,413.74240168794654,414.2967608282837,410.80145662667593,411.15850830078125,58783300,402.0468740262298,370.1506281847486,1,1.0,-0.0020979667905745014,-0.0020979667905745014,2.4102202551754295,1.3973052364329104
2021-08-03,411.9572078453096,414.62566180738776,409.75855272178563,414.5035095214844,58053900,402.5353695358476,370.5919503871042,1,1.0,0.008135551504278027,0.008135551504278027,2.429828726198063,1.4086730851511078
2021-08-04,413.2162357099742,414.47529306625523,412.22966968933605,412.4645690917969,46732200,402.9247499105907,371.0085933592902,1,1.0,-0.00491899437001464,-0.00491899437001464,2.417876412373795,1.4017438301760583
2021-08-05,413.62967177045795,415.1612205024383,413.3102120156651,415.07666015625,38969700,403.4012954104205,371.44708158612565,1,1.0,0.006332885925704357,0.006332885925704357,2.4331885478758095,1.410620913949623
2021-08-06,415.3961145625114,416.1853731243509,415.1142180712691,415.7625427246094,46930000,403.8860502070554,371.88803144820014,1,1.0,0.0016524238392521262,0.0016524238392521262,2.4372092066377147,1.412951857575981
2021-08-09,415.73434047583487,416.0538002146291,414.65380898521596,415.4242858886719,41222600,404.338530037707,372.32122800979687,1,1.0,-0.0008135817953219826,-0.0008135817953219826,2.435226337595803,1.4118023056669908
2021-08-10,415.87529184094507,416.6551739287781,415.1894039248862,415.9410705566406,43339300,404.7935316266848,372.7552562938451,1,1.0,0.0012439924326119733,0.0012439924326119733,2.4382557407314693,1.4135585770515846
2021-08-11,417.0122013066696,417.0685748670529,415.88467275051914,416.974609375,44034300,405.2712209501482,373.19524985684166,1,1.0,0.0024848203063385643,0.0024848203063385643,2.4443143681080857,1.4170710161080415
2021-08-12,416.8242824343716,418.36523626093714,415.9222767677867,418.2242736816406,38909400,405.7791838023636,373.64329984514814,1,1.0,0.00299697938086374,0.00299697938086374,2.4516399278696546,1.4213179487245369
2021-08-13,418.67532930381714,419.0041942286406,418.18674883001233,418.98541259765625,39470300,406.2970751276692,374.09446514616815,1,1.0,0.0018199300325523193,0.0018199300325523193,2.4561017410033887,1.4239046479452264
2021-08-16,417.67933383173784,420.1034831034583,416.1195983231061,419.9719543457031,73740000,406.83334490092545,374.5509575760143,1,1.0,0.0023545968866325317,0.0023545968866325317,2.461884870516008,1.42725736939614
2021-08-17,417.40683542397306,418.0833468539245,414.2216144188741,417.21893310546875,92673900,407.2406228697311,374.9755145464566,1,1.0,-0.006555250205989238,-0.006555250205989238,2.4457465992114362,1.4179013402314062
2021-08-18,416.2041743706888,417.7733150905875,412.40822044306,412.6524963378906,89351900,407.4528532018158,375.35040988766497,1,1.0,-0.010944941385063633,-0.010944941385063633,2.4189780460403485,1.4023824931727704
2021-08-19,409.91829046851075,414.4941554902012,409.7773565441613,413.29144287109375,92812200,407.6818175025718,375.727932603918,1,1.0,0.0015483888716862904,0.0015483888716862904,2.422723564727691,1.4045539266190468
2021-08-20,413.6390701113293,416.9088514737455,413.15046099796143,416.5799865722656,72008700,408.03076530922647,376.1344207031056,1,1.0,0.007956960536919633,0.007956960536919633,2.4420010805240944,1.41572990678513
2021-08-23,418.2712850399687,421.15585665021996,416.65517596697146,420.24444580078125,54973000,408.5097331716404,376.57332642547055,1,1.0,0.008796532110598498,0.008796532110598498,2.4634822214430407,1.4281834203701
2021-08-24,420.9115905761719,421.44716815686525,420.3948233013429,420.9115905761719,38744700,408.9960805208377,377.014503183189,1,1.0,0.0015875159851770348,0.0015875159851770348,2.467393038848781,1.4304506843797025
2021-08-25,421.0994762269488,422.3115365062703,420.7236142411114,421.7947692871094,40529700,409.49798988422094,377.4600779702927,1,1.0,0.002098252295045011,0.002098252295045011,2.4725702519553234,1.433452130811151
2021-08-26,421.5128715397554,421.74777094308087,419.21087459171173,419.3048400878906,57829600,409.88257224514916,377.8764437625076,1,1.0,-0.005903177043724561,-0.005903177043724561,2.4579742320049847,1.4249902090992685
2021-08-27,420.11291814276507,423.4296968697422,420.05654457482467,423.0538635253906,77235100,410.3990934718253,378.32597032731246,1,1.0,0.008941044984632551,0.008941044984632551,2.479951090184409,1.437731110661486
